지점,지점명,일시,평균기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),평균 전운량(1/10)
192,진주,2012-10-13,13.5,,1.9,.7,71,5.7,2.58,12.98,,5.8
192,진주,2012-10-14,14.2,,1.5,.5,75.5,5.4,2.05,10.97,,3.9
192,진주,2012-10-15,13.5,,3.3,1.1,59.8,10.4,2.57,17.12,,.3
192,진주,2012-10-16,14.5,,3.8,.9,73.1,9.9,2.47,15.92,,3.3
192,진주,2012-10-17,14.7,,4.8,1.4,66.8,5.1,1.51,8.13,,5
192,진주,2012-10-18,11,,4,1.6,46.4,10.3,2.65,17.85,,0
192,진주,2012-10-19,11.4,,2.3,.7,67.8,9.9,2.41,15.79,,.5
192,진주,2012-10-20,12.2,,2.8,.6,77.6,7.4,1.98,11.69,,2.5
192,진주,2012-10-21,13.5,,2.3,.6,67.5,10.1,2.42,15.57,,2.4
192,진주,2012-10-22,14.7,19,4.8,1.1,82.1,.9,1.06,3.4,,8.8
192,진주,2012-10-23,11.5,,4.7,1.7,57.8,10.2,2.6,17.35,,1.3
192,진주,2012-10-24,11.1,,2.9,.8,66.8,8.8,2.47,15.83,,4
192,진주,2012-10-25,12,,2.1,.6,73.4,10,2.43,15.69,,.3
